price,bedrooms,sqft_living,waterfront,condition,city,country
600000,3,1880,0,4,Seattle,USA
418000,3,1410,0,4,Seattle,USA
449250,4,1480,0,5,Seattle,USA
329950,2,1140,0,4,Seattle,USA
245000,3,1920,0,3,Auburn,USA
549000,4,2910,0,3,Renton,USA
800000,3,3240,0,3,Sammamish,USA
249950,3,1550,0,4,Renton,USA
210000,5,2050,0,3,Des Moines,USA
1425000,2,2220,0,3,Seattle,USA
585000,2,1770,0,3,Seattle,USA
615000,4,2300,0,4,Redmond,USA
618500,3,1800,0,4,Seattle,USA
487585,4,2010,0,3,Kirkland,USA
509900,3,1790,0,3,Issaquah,USA
631625,4,2440,0,3,Seattle,USA
555000,3,1940,0,3,Issaquah,USA
340000,2,1160,0,3,Seattle,USA
830000,4,3400,0,3,Redmond,USA
890000,4,4420,0,3,Issaquah,USA
366750,3,1571,0,3,Seattle,USA
415000,3,1620,0,3,Issaquah,USA
416286,3,1408,0,3,Seattle,USA
478000,3,3040,0,3,Renton,USA
890000,5,4490,0,3,Issaquah,USA
419190,2,1590,0,3,Issaquah,USA
712198,4,2450,0,3,Redmond,USA
397000,4,1440,0,3,Kirkland,USA
450000,2,1100,0,3,Seattle,USA
353000,3,1350,0,4,Seattle,USA
609000,4,2150,0,3,Redmond,USA
234000,3,1490,0,4,Covington,USA
561000,3,2000,0,3,Seattle,USA
469000,2,1030,0,3,Seattle,USA
329350,2,720,0,3,Seattle,USA
488000,5,2020,0,4,Seattle,USA
279900,3,1580,0,4,Des Moines,USA
606000,4,2110,0,3,Issaquah,USA
312000,4,1300,0,3,Seattle,USA
650000,3,1630,0,3,Seattle,USA
1135000,4,3370,0,3,Seattle,USA
325000,4,1890,0,3,Seattle,USA
425000,4,1520,0,5,Inglewood-Finn Hill,USA
219000,2,900,0,3,Seattle,USA
250000,3,1050,0,3,Shoreline,USA
390000,3,1260,0,4,Bellevue,USA
475000,6,3470,0,3,Kenmore,USA
736000,4,2290,0,4,Bellevue,USA
407000,4,2810,0,3,Des Moines,USA
272000,3,1650,0,3,Carnation,USA
362000,3,1640,0,4,Burien,USA
535000,3,1850,0,3,Kirkland,USA
284000,4,2000,0,3,Kent,USA
367500,3,1410,0,3,Shoreline,USA
379900,4,1500,0,4,Kenmore,USA
520000,3,2460,0,4,Renton,USA
175000,3,1010,0,3,Renton,USA
460000,2,1230,0,3,Seattle,USA
345000,4,2331,0,3,Renton,USA
455000,5,2240,0,3,Kirkland,USA
610000,4,2450,0,5,Bellevue,USA
563000,4,3100,0,3,Kenmore,USA
612500,4,2060,0,3,Seattle,USA
218000,3,1850,0,3,Federal Way,USA
404000,4,1840,0,3,Bellevue,USA
860000,4,3740,0,3,Redmond,USA
136500,3,1420,0,3,Federal Way,USA
313950,3,1510,0,4,Seattle,USA
575000,3,2130,0,3,Seattle,USA
1225000,4,3490,0,4,Seattle,USA
280000,3,1630,0,4,North Bend,USA
515000,3,1790,0,3,Sammamish,USA
513000,4,2000,0,3,Kenmore,USA
599000,4,2260,0,4,Bellevue,USA
685000,4,3030,0,3,Sammamish,USA
365000,3,1310,0,3,Seattle,USA
762300,4,3880,0,3,Sammamish,USA
1580000,4,3760,0,5,Seattle,USA
562000,5,3040,0,3,Redmond,USA
530000,5,2910,0,4,Bellevue,USA
525000,3,2970,0,3,Sammamish,USA
484000,2,1660,0,3,Seattle,USA
725126,4,3200,0,3,Newcastle,USA
360000,4,2680,0,5,Auburn,USA
387000,3,1230,0,5,Newcastle,USA
483500,4,2740,0,3,Woodinville,USA
655500,4,3380,0,3,Shoreline,USA
345000,3,1110,0,3,Seattle,USA
533000,5,1800,0,3,Seattle,USA
385000,3,1900,0,3,Seattle,USA
675000,2,930,0,3,Bellevue,USA
197000,3,1690,0,4,Auburn,USA
485000,3,1420,0,3,Seattle,USA
1870000,5,4510,0,3,Mercer Island,USA
295000,3,1980,0,4,Federal Way,USA
499000,2,1170,0,4,Seattle,USA
1050000,3,2200,0,3,Seattle,USA
191000,3,800,0,4,Federal Way,USA
500000,3,1480,0,3,Seattle,USA
390000,5,2890,0,3,Seattle,USA
979000,3,2690,0,3,Seattle,USA
580000,4,3569,0,3,Renton,USA
369950,3,1270,0,3,Seattle,USA
1800000,5,4490,0,3,Bellevue,USA
776000,4,3040,0,3,Redmond,USA
519950,3,1170,0,3,Seattle,USA
255000,5,2060,0,3,Burien,USA
495000,3,990,0,3,Seattle,USA
510000,4,2430,0,3,Shoreline,USA
1150000,4,4460,0,3,Redmond,USA
253000,3,1250,0,3,Black Diamond,USA
503000,3,1540,0,5,Kirkland,USA
275000,3,1600,0,4,Maple Valley,USA
249000,3,1110,0,3,Burien,USA
310000,3,1840,0,4,Renton,USA
750000,3,2520,0,4,Seattle,USA
630000,3,2680,0,3,Ravensdale,USA
599999,9,3830,0,3,Seattle,USA
758000,4,2410,0,4,Kirkland,USA
248500,4,1720,0,5,Covington,USA
310000,3,2070,0,4,Kent,USA
460000,3,1760,0,4,Redmond,USA
675000,3,1680,0,4,Bellevue,USA
526000,2,1550,0,4,Seattle,USA
560000,3,4120,0,3,Carnation,USA
415000,4,1830,0,3,Bothell,USA
246000,3,1400,0,3,Burien,USA
314500,3,1870,0,4,Federal Way,USA
3200000,7,6210,0,5,Seattle,USA
420000,2,1040,0,4,Seattle,USA
535000,3,2720,0,3,Carnation,USA
350000,3,1010,0,3,Kirkland,USA
515000,3,1580,0,4,Bellevue,USA
749950,4,2600,0,5,Seattle,USA
230000,3,1920,0,3,Renton,USA
568000,3,2350,0,3,Seattle,USA
250000,1,1100,0,2,Burien,USA
581000,4,2510,0,4,Kirkland,USA
651000,3,3240,0,4,Kent,USA
600000,3,2460,0,4,Issaquah,USA
500000,2,1010,0,4,Seattle,USA
475000,2,820,0,3,Seattle,USA
352000,5,2420,0,3,Seattle,USA
420000,3,1770,0,3,Kirkland,USA
428000,2,1350,0,3,Redmond,USA
599000,3,1960,0,4,Seattle,USA
492000,4,3305,0,5,Shoreline,USA
630000,2,2550,0,3,Renton,USA
900000,5,4130,0,3,Woodinville,USA
1110000,4,2310,0,3,Clyde Hill,USA
575000,4,1650,0,3,Seattle,USA
705000,4,2650,0,3,Seattle,USA
940000,4,1890,0,3,Seattle,USA
313000,3,2190,0,4,Federal Way,USA
618080,3,2030,0,3,Issaquah,USA
640000,3,2270,0,3,Renton,USA
485000,3,1610,0,4,Seattle,USA
300000,2,760,0,3,Seattle,USA
379500,2,1640,0,3,Redmond,USA
339950,3,1630,0,4,Renton,USA
1500000,6,3560,0,4,Seattle,USA
1340000,3,2960,0,3,Seattle,USA
500000,3,1940,0,4,Issaquah,USA
239900,3,1410,0,3,Kent,USA
314950,3,1040,0,4,Renton,USA
361280,2,820,0,4,Seattle,USA
100000,2,910,0,3,Algona,USA
540000,7,3700,0,3,Lake Forest Park,USA
480500,4,2180,0,4,Woodinville,USA
280000,3,1600,0,3,Auburn,USA
440000,3,1500,0,4,Seattle,USA
530000,3,1340,0,3,Seattle,USA
560000,3,1860,0,3,Issaquah,USA
775000,3,2540,0,4,Seattle,USA
160000,2,1040,0,5,Kent,USA
209950,3,1380,0,3,Federal Way,USA
226500,3,1640,0,3,Covington,USA
380000,5,3000,0,5,Seattle,USA
409500,4,2140,0,3,Kenmore,USA
690000,3,1760,0,4,Seattle,USA
405000,3,1660,0,4,Shoreline,USA
375000,3,1830,0,3,Maple Valley,USA
794154,4,2210,0,4,Seattle,USA
185000,4,1490,0,3,Burien,USA
245000,3,1260,0,3,Seattle,USA
1532500,5,4270,0,3,Kirkland,USA
1040000,4,3900,0,3,Kirkland,USA
425000,2,1150,0,3,Seattle,USA
495000,4,2656,0,3,Auburn,USA
365000,5,2410,0,3,Seattle,USA
417250,3,1606,0,3,Seattle,USA
339950,2,820,0,3,Seattle,USA
615000,2,1540,0,4,Seattle,USA
403000,3,2090,0,3,Duvall,USA
980000,5,3160,0,4,Mercer Island,USA
258000,4,1730,0,3,Federal Way,USA
533000,3,1670,0,3,Seattle,USA
537500,4,2550,0,3,Sammamish,USA
830000,5,3040,0,5,Mercer Island,USA
712000,3,1250,0,4,Seattle,USA
262000,4,2020,0,3,Algona,USA
753888,4,2660,0,3,Issaquah,USA
134000,2,980,0,3,Skykomish,USA
402000,3,1960,0,4,Kirkland,USA
205000,2,720,0,3,Seattle,USA
553650,2,1360,0,3,Seattle,USA
559950,2,1870,0,3,Redmond,USA
260000,4,2130,0,3,Kent,USA
270000,4,1810,0,3,Kent,USA
295000,2,2200,0,3,Issaquah,USA
719000,3,1690,0,4,Seattle,USA
266000,3,1940,0,3,Kent,USA
325900,4,2320,0,3,Kent,USA
647500,4,2060,0,4,Normandy Park,USA
1039000,4,3410,0,5,Seattle,USA
569000,4,2250,0,3,Redmond,USA
246000,3,1390,0,4,Kent,USA
515000,2,1060,0,3,Seattle,USA
207000,3,1490,0,4,Seattle,USA
780000,4,2480,0,3,Bellevue,USA
489990,5,2440,0,4,Kent,USA
335000,3,2240,0,2,Auburn,USA
295000,3,1920,0,3,Federal Way,USA
385000,3,1890,0,3,Seattle,USA
350000,4,2250,0,4,Kent,USA
235000,2,1270,0,4,Seattle,USA
358000,2,960,0,3,Seattle,USA
716500,4,3290,0,3,Sammamish,USA
228000,4,2000,0,3,Seattle,USA
405000,2,1020,0,4,Seattle,USA
538000,4,1840,0,3,Redmond,USA
530000,3,1980,0,4,Bellevue,USA
1750000,6,3510,0,4,Seattle,USA
636000,2,1230,0,5,Seattle,USA
535000,4,2280,0,3,Woodinville,USA
1500000,3,2430,0,4,Bellevue,USA
868500,3,2920,0,3,Renton,USA
530000,4,2280,0,4,Seattle,USA
450000,3,1510,0,3,Woodinville,USA
230000,3,950,0,3,Seattle,USA
229000,3,1190,0,3,Tukwila,USA
437000,3,1310,0,4,Redmond,USA
1307000,5,2800,0,5,Seattle,USA
595000,3,1750,0,4,Kirkland,USA
660000,3,1320,0,5,Seattle,USA
347500,4,2460,0,3,Federal Way,USA
297950,3,1240,0,3,Renton,USA
245000,3,1260,0,4,Des Moines,USA
543200,6,2820,0,5,Burien,USA
1250000,4,3820,0,4,Mercer Island,USA
413450,3,1540,0,3,Seattle,USA
330000,2,1550,0,2,Snoqualmie,USA
424500,3,1460,0,3,Redmond,USA
230000,3,1390,0,4,Algona,USA
930000,3,2640,0,3,Seattle,USA
349000,3,1590,0,3,Renton,USA
835000,4,1910,0,5,Seattle,USA
988500,3,2015,1,3,Burien,USA
500000,3,1410,0,3,Seattle,USA
499000,2,1110,0,3,Seattle,USA
321950,2,860,0,3,Seattle,USA
494000,3,2310,0,3,Kenmore,USA
441750,2,1020,0,3,Seattle,USA
438000,2,980,0,3,Seattle,USA
985000,4,4230,0,3,Woodinville,USA
352000,3,1640,0,4,Renton,USA
839900,4,3810,0,3,Renton,USA
765000,4,2790,0,3,Issaquah,USA
460000,4,1750,0,5,Seattle,USA
224500,4,1430,0,4,Auburn,USA
254000,3,1850,0,3,Covington,USA
255000,2,960,0,4,Vashon,USA
610000,3,2480,0,4,Woodinville,USA
920000,4,3750,0,3,Sammamish,USA
402500,4,2600,0,3,Federal Way,USA
280950,3,1390,0,4,Renton,USA
604000,4,2260,0,3,Issaquah,USA
565000,4,2470,0,3,Lake Forest Park,USA
255000,2,810,0,1,Seattle,USA
445000,4,1650,0,5,Seattle,USA
2400000,3,3000,1,3,Sammamish,USA
195000,2,720,0,3,Seattle,USA
275000,3,1390,0,3,Fall City,USA
387000,3,1445,0,3,Issaquah,USA
490000,2,1840,0,4,Seattle,USA
505000,3,2100,0,3,Snoqualmie,USA
303500,3,1060,0,4,Kirkland,USA
270000,3,1500,0,5,Seattle,USA
323000,4,1970,0,3,Renton,USA
382000,3,1410,0,3,Seattle,USA
1370000,4,3720,0,5,Bellevue,USA
280000,4,2190,0,4,Auburn,USA
260000,3,1920,0,4,Federal Way,USA
201500,3,1160,0,4,Kent,USA
1157200,4,5860,0,4,Woodinville,USA
536500,4,2000,0,5,Seattle,USA
248000,4,2163,0,3,Algona,USA
532000,5,3480,0,4,Issaquah,USA
580000,4,2840,0,3,Kenmore,USA
463000,2,1150,0,4,Seattle,USA
742500,4,3100,0,3,Seattle,USA
260000,3,1420,0,4,Kent,USA
590000,4,2430,0,3,Woodinville,USA
312000,4,1930,0,3,Kent,USA
566000,3,1660,0,4,Redmond,USA
511555,3,1400,0,4,Bellevue,USA
583000,4,2660,0,3,Redmond,USA
290000,4,2000,0,4,Auburn,USA
311100,4,2130,0,4,Renton,USA
325000,3,1352,0,3,Seattle,USA
491300,3,1750,0,4,Sammamish,USA
315000,5,2320,0,4,Burien,USA
360000,2,1420,0,3,Renton,USA
330000,4,1940,0,3,Renton,USA
481450,3,1410,0,3,Seattle,USA
234950,3,1360,0,3,Black Diamond,USA
251000,3,1220,0,3,North Bend,USA
782000,4,2830,0,3,Bellevue,USA
833000,4,3780,0,3,Sammamish,USA
542500,4,2330,0,4,Bellevue,USA
851000,3,3560,0,3,Redmond,USA
325000,4,1470,0,3,Ravensdale,USA
415000,4,3060,0,3,Ravensdale,USA
252500,3,1030,0,3,Seattle,USA
465000,4,1930,0,4,Federal Way,USA
336900,3,1780,0,4,Duvall,USA
225000,3,2000,0,4,Maple Valley,USA
270000,3,1690,0,4,Renton,USA
1702500,5,5190,0,3,Mercer Island,USA
536000,3,1300,0,3,Seattle,USA
585000,4,2400,0,4,Woodinville,USA
445000,2,1150,0,3,Seattle,USA
320000,4,2310,0,3,Renton,USA
769900,4,2730,0,3,Seattle,USA
557000,4,2840,0,3,Kenmore,USA
212000,2,1020,0,3,Seattle,USA
376000,3,1340,0,3,Seattle,USA
800000,4,3540,0,3,Carnation,USA
2238888,5,7270,0,3,Issaquah,USA
324000,3,998,0,3,Seattle,USA
549900,5,3060,0,5,Seattle,USA
320000,3,2130,0,3,Maple Valley,USA
875000,4,2520,0,3,Seattle,USA
265000,4,1940,0,3,Kent,USA
394950,3,1350,0,3,Seattle,USA
842500,4,2160,0,4,Seattle,USA
368000,3,1370,0,3,Seattle,USA
1225000,4,5420,0,3,Redmond,USA
885000,4,2830,0,3,Seattle,USA
453246,3,2010,0,3,Issaquah,USA
927000,4,3300,0,3,Clyde Hill,USA
490000,2,1230,0,3,Seattle,USA
341000,3,1720,0,4,Shoreline,USA
235000,1,810,0,5,Seattle,USA
1200000,3,1560,1,4,Mercer Island,USA
560000,3,2560,0,3,Auburn,USA
900000,4,4700,0,3,Bellevue,USA
255000,2,1220,0,3,Seattle,USA
1575000,5,3650,0,4,Bellevue,USA
876650,3,2170,0,5,Mercer Island,USA
540000,4,2540,0,3,Duvall,USA
350000,2,910,0,4,Seattle,USA
750000,4,2980,0,3,Bellevue,USA
582000,4,2120,0,3,Seattle,USA
1315000,4,3460,0,3,Seattle,USA
372500,5,2480,0,3,Seattle,USA
410000,3,2200,0,3,Maple Valley,USA
360000,4,1730,0,5,Seattle,USA
1015000,3,2920,0,4,Seattle,USA
225000,3,990,0,4,Renton,USA
647000,4,3040,0,3,Sammamish,USA
950000,5,4530,0,4,Woodinville,USA
185000,3,1370,0,4,Auburn,USA
335000,3,1940,0,3,Renton,USA
210000,3,1040,0,3,Seattle,USA
522000,4,1800,0,4,Kirkland,USA
770000,3,1720,0,3,Seattle,USA
499950,3,980,0,3,Seattle,USA
751000,4,3110,0,3,Redmond,USA
330000,5,2100,0,3,Burien,USA
465000,3,2020,0,4,Kirkland,USA
850000,4,2350,0,4,Mercer Island,USA
947500,4,3290,0,4,Mercer Island,USA
302000,5,2180,0,3,Maple Valley,USA
500000,2,1290,0,3,Seattle,USA
201000,3,1460,0,4,Kent,USA
265000,2,1290,0,3,Redmond,USA
870300,4,2350,0,4,Seattle,USA
339000,3,1080,0,4,Shoreline,USA
690000,4,2670,0,4,Issaquah,USA
788000,4,3680,0,3,Issaquah,USA
315275,3,1440,0,3,Seattle,USA
505000,4,1940,0,5,Seattle,USA
368000,3,1280,0,3,Woodinville,USA
947500,3,2980,1,5,Burien,USA
156000,3,970,0,3,Federal Way,USA
610000,4,2110,0,4,Seattle,USA
420000,2,1480,0,3,Redmond,USA
192000,2,700,0,3,Normandy Park,USA
910000,3,2700,0,4,Seattle,USA
1300000,4,2330,0,3,Seattle,USA
1346400,5,3380,0,4,Clyde Hill,USA
840000,4,2600,0,3,Seattle,USA
300000,2,1360,0,3,Seattle,USA
505000,4,2780,0,3,Kirkland,USA
110000,3,1250,0,5,Maple Valley,USA
746000,3,2620,0,3,Bellevue,USA
211000,3,1350,0,5,Burien,USA
675000,4,2400,0,4,Seattle,USA
734200,4,2760,0,5,Seattle,USA
1225000,4,3070,0,3,Mercer Island,USA
615000,2,2040,1,4,Vashon,USA
630000,4,1770,0,5,Seattle,USA
1264000,4,3490,0,3,Bellevue,USA
301500,2,830,0,3,Seattle,USA
369000,2,980,0,3,Seattle,USA
635000,3,1570,0,3,Seattle,USA
1033888,4,3270,0,3,Redmond,USA
383000,4,2160,0,3,Maple Valley,USA
1050000,4,3280,0,3,Kirkland,USA
455000,4,3360,0,3,Renton,USA
819900,5,3150,0,3,Redmond,USA
625000,3,1810,0,4,Seattle,USA
651000,4,2740,0,3,Sammamish,USA
480000,5,3830,0,3,Woodinville,USA
757000,3,3190,0,3,Issaquah,USA
460000,3,2350,0,3,Kenmore,USA
267345,4,2510,0,4,Federal Way,USA
530000,2,1680,0,3,Redmond,USA
449500,3,1770,0,4,Shoreline,USA
289000,3,1090,0,5,Renton,USA
373000,5,3001,0,3,Kent,USA
525000,5,2450,0,3,Seattle,USA
777000,3,3610,0,3,Issaquah,USA
550000,4,2250,0,5,Bellevue,USA
523000,3,1240,0,4,Bellevue,USA
628000,4,2260,0,3,Seattle,USA
581000,4,2090,0,4,Redmond,USA
245000,5,2020,0,3,Seattle,USA
415000,3,1960,0,5,Seattle,USA
1895000,5,3120,0,4,Yarrow Point,USA
225000,3,1250,0,3,Kent,USA
287000,3,1490,0,4,Duvall,USA
799200,6,2890,0,3,Seattle,USA
239950,3,1900,0,4,Auburn,USA
591000,3,1680,0,5,Seattle,USA
700000,3,2030,0,4,Bellevue,USA
475000,4,3740,0,3,Renton,USA
575000,3,1580,0,4,Seattle,USA
771000,3,1780,0,4,Seattle,USA
155000,2,910,0,3,Seattle,USA
550000,7,3440,0,3,Seattle,USA
645000,3,1740,0,4,Bellevue,USA
464000,5,3400,0,4,Shoreline,USA
1050000,4,4400,0,3,Sammamish,USA
350000,3,2010,0,3,Vashon,USA
591000,4,2710,0,4,Woodinville,USA
2555000,4,5300,1,2,Seattle,USA
717000,3,1310,0,3,Seattle,USA
225000,4,1950,0,3,SeaTac,USA
225000,3,1040,0,3,Seattle,USA
345000,3,1090,0,3,Kirkland,USA
230000,2,650,0,4,Seattle,USA
385000,3,1480,0,3,Seattle,USA
90000,2,790,0,3,Kirkland,USA
860000,4,3560,0,3,Bellevue,USA
675000,4,3000,0,3,Newcastle,USA
975000,4,3490,0,3,Bellevue,USA
780000,3,2340,0,4,Mercer Island,USA
370000,3,1650,0,5,Shoreline,USA
665000,3,1940,0,5,Seattle,USA
675000,5,3410,0,4,Redmond,USA
620000,3,1710,0,3,Seattle,USA
1105000,4,2740,0,5,Seattle,USA
450000,3,1250,0,3,Seattle,USA
450000,3,2450,0,4,Covington,USA
530000,3,1690,0,4,Bellevue,USA
635000,4,1950,0,4,Bellevue,USA
580000,5,2290,0,3,Bellevue,USA
1550000,5,3370,0,5,Mercer Island,USA
285000,3,1090,0,4,Burien,USA
375000,3,1190,0,4,Normandy Park,USA
1400000,5,3530,0,3,Mercer Island,USA
560000,3,1440,0,3,Seattle,USA
405000,4,2180,0,3,Lake Forest Park,USA
413000,4,1410,0,3,Seattle,USA
287600,3,1950,0,3,Auburn,USA
1680000,5,4860,0,4,Mercer Island,USA
225000,3,1660,0,3,Auburn,USA
319000,3,1390,0,4,Woodinville,USA
322500,3,1350,0,3,Duvall,USA
570000,3,1530,0,4,Seattle,USA
465000,3,1270,0,3,Seattle,USA
435000,4,2140,0,3,Snoqualmie,USA
502000,4,2040,0,3,Kenmore,USA
525000,3,2876,0,3,Woodinville,USA
525000,3,1580,0,3,Seattle,USA
660000,4,3400,0,3,Snoqualmie,USA
870000,4,3520,0,3,Seattle,USA
650000,4,2210,0,3,Seattle,USA
505000,4,2790,0,3,Renton,USA
330000,3,1450,0,3,Seattle,USA
385000,4,1620,0,4,Seattle,USA
306000,3,1220,0,3,Seattle,USA
546000,3,2000,0,4,Seattle,USA
925000,4,2190,0,5,Mercer Island,USA
542000,4,1900,0,4,Bellevue,USA
800000,3,1700,0,4,Seattle,USA
620000,5,2540,0,5,Seattle,USA
175000,2,1170,0,3,Des Moines,USA
740000,5,5774,0,3,Federal Way,USA
345000,3,2120,0,3,Renton,USA
510000,3,2170,0,3,Sammamish,USA
530000,4,2450,0,5,Normandy Park,USA
155000,2,700,0,5,Renton,USA
266000,3,1780,0,4,Kent,USA
257200,3,1850,0,4,Auburn,USA
265000,3,1570,0,3,Auburn,USA
372220,3,1290,0,3,Seattle,USA
337500,5,1700,0,3,Seattle,USA
582500,2,1159,0,3,Seattle,USA
489200,3,1850,0,5,Kirkland,USA
405100,2,840,0,3,Seattle,USA
372977,3,1690,0,3,Issaquah,USA
310000,3,1050,0,3,Kenmore,USA
538000,3,1400,0,4,Seattle,USA
1400000,3,2550,0,3,Seattle,USA
317000,3,1840,0,3,Maple Valley,USA
702500,3,2360,0,5,Seattle,USA
565000,4,2240,0,4,Newcastle,USA
723000,4,2700,0,3,Issaquah,USA
766950,3,3030,0,4,Woodinville,USA
682000,3,1830,0,5,Seattle,USA
325000,3,2220,0,4,Kent,USA
543000,3,2090,0,3,Shoreline,USA
525000,3,1600,0,3,Seattle,USA
364000,4,2010,0,4,Shoreline,USA
394475,2,830,0,3,Seattle,USA
316000,4,2010,0,3,Auburn,USA
339950,3,1050,0,4,Seattle,USA
486000,4,2150,0,3,Fall City,USA
160000,3,860,0,4,Kent,USA
930000,3,3100,0,3,Shoreline,USA
139000,3,1100,0,3,Auburn,USA
562000,3,1830,0,4,Bellevue,USA
299000,2,1250,0,4,Federal Way,USA
511000,3,1820,0,3,Kenmore,USA
499000,3,2090,0,3,Ravensdale,USA
356000,3,2100,0,3,Tukwila,USA
470000,4,2310,0,3,Duvall,USA
715000,4,2060,0,5,Seattle,USA
1120000,4,4470,0,3,Woodinville,USA
458000,3,1660,0,4,Seattle,USA
966000,5,3810,0,3,Sammamish,USA
305495,3,2110,0,4,Renton,USA
543000,2,2370,0,3,Issaquah,USA
340000,3,1970,0,3,Renton,USA
633100,4,2470,0,3,Redmond,USA
310000,3,1480,0,3,Shoreline,USA
