price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_basement,yr_built,city
524000,3,1.75,1560,1,0,0,4,780,1944,Seattle
541125,5,2.75,2740,1,0,0,4,1370,1960,Bellevue
670000,3,2.5,1680,3,0,0,3,0,1909,Seattle
384900,5,2.5,3090,1,0,0,3,1340,1968,Federal Way
406100,3,2.25,1410,3,0,0,3,0,2005,Seattle
1395000,5,3.5,4010,2,0,1,5,1160,1971,Seattle
736500,4,2.5,3180,2,0,3,3,0,2000,Renton
570000,3,2.25,2010,1,0,0,3,680,1975,Redmond
787000,3,1.75,1330,1,0,0,3,0,1961,Bellevue
328000,4,2.5,2370,2,0,0,3,0,1998,Auburn
435000,5,2,1840,1,0,0,4,300,1942,Seattle
499000,4,2.5,2910,2,0,0,3,0,2006,Snoqualmie
501000,4,1,2070,1,0,0,3,910,1963,Bellevue
1090000,4,2.5,4340,2.5,0,0,3,0,1992,Redmond
400000,2,1,840,1,0,0,3,0,1955,Seattle
220000,4,1.5,1240,1,0,0,3,0,1971,Federal Way
657100,4,1,1390,1,0,0,3,340,1924,Seattle
309950,4,2.75,2310,2,0,0,3,0,2006,Maple Valley
300000,3,2,1050,1,0,0,3,0,1986,Duvall
525888,5,1.75,2550,1,0,0,5,740,1960,Issaquah
740000,4,1.75,2010,1.5,0,0,3,0,1902,Seattle
340000,5,1,1120,1.5,0,0,4,0,1962,Kirkland
398750,3,2.5,2230,2,0,0,3,0,1954,Seattle
206000,2,1,810,1,0,0,5,0,1944,Burien
1030000,5,2.75,3190,1,0,3,3,1500,1976,Bellevue
600000,3,1.75,1670,1,0,0,4,0,1976,Sammamish
379950,4,1.75,1970,1,0,0,5,830,1960,Shoreline
287000,3,1,1450,1,0,0,4,0,1953,Seattle
2280000,7,8,13540,3,0,4,3,4130,1999,Redmond
309950,3,2.5,1880,2,0,0,3,0,1994,Renton
600000,3,1.75,1880,1,0,0,4,840,1945,Seattle
418000,3,2,1410,1.5,0,0,4,0,1930,Seattle
449250,4,2,1480,1.5,0,0,5,0,1928,Seattle
329950,2,1,1140,1.5,0,0,4,0,1949,Seattle
245000,3,1.75,1920,1,0,0,3,920,1984,Auburn
549000,4,2.5,2910,2,0,0,3,0,2008,Renton
800000,3,2.5,3240,2,0,0,3,0,1994,Sammamish
249950,3,2,1550,1,0,0,4,0,1958,Renton
210000,5,2,2050,1,0,0,3,620,1956,Des Moines
1425000,2,2.5,2220,2,0,0,3,0,2000,Seattle
585000,2,1,1770,1.5,0,0,3,250,1949,Seattle
615000,4,1.75,2300,1,0,0,4,340,1977,Redmond
618500,3,2,1800,1,0,0,4,720,1942,Seattle
487585,4,1.75,2010,1,0,0,3,540,1977,Kirkland
509900,3,2.5,1790,2,0,0,3,0,2010,Issaquah
631625,4,2.5,2440,2,0,0,3,0,2014,Seattle
555000,3,2.5,1940,2,0,0,3,0,2009,Issaquah
340000,2,1.5,1160,2,0,0,3,0,2001,Seattle
830000,4,2.5,3400,2,0,0,3,0,2007,Redmond
890000,4,4.25,4420,2,0,0,3,1010,2006,Issaquah
366750,3,3,1571,3,0,0,3,0,2008,Seattle
415000,3,2.25,1620,2.5,0,0,3,80,2010,Issaquah
416286,3,2.5,1408,3,0,0,3,0,2005,Seattle
478000,3,2.5,3040,2,0,0,3,0,2007,Renton
890000,5,3.5,4490,2,0,0,3,1290,2006,Issaquah
419190,2,2.5,1590,2,0,0,3,0,2014,Issaquah
712198,4,2.5,2450,2,0,0,3,0,2013,Redmond
397000,4,2,1440,1,0,0,3,240,1971,Kirkland
450000,2,2,1100,1.5,0,0,3,0,1912,Seattle
353000,3,1,1350,1,0,0,4,490,1947,Seattle
609000,4,2.5,2150,2,0,0,3,0,1985,Redmond
234000,3,1.75,1490,1,0,0,4,480,1975,Covington
561000,3,2,2000,2,0,0,3,0,1916,Seattle
469000,2,1,1030,1,0,0,3,0,1924,Seattle
329350,2,1,720,1,0,0,3,0,1942,Seattle
488000,5,2,2020,1.5,0,0,4,0,1938,Seattle
279900,3,1.75,1580,1,0,1,4,480,1962,Des Moines
606000,4,2.5,2110,2,0,0,3,0,1987,Issaquah
312000,4,2,1300,1,0,0,3,0,1950,Seattle
650000,3,1.5,1630,1,0,1,3,470,1940,Seattle
1135000,4,2.75,3370,1,0,3,3,1400,1970,Seattle
325000,4,2.5,1890,1,0,0,3,910,1980,Seattle
425000,4,2,1520,1,0,0,5,0,1967,Inglewood-Finn Hill
219000,2,1,900,1,0,0,3,0,1952,Seattle
250000,3,1,1050,1,0,0,3,0,1954,Shoreline
390000,3,1.75,1260,1,0,0,4,0,1966,Bellevue
475000,6,3,3470,1.5,0,0,3,0,1924,Kenmore
736000,4,2.5,2290,2,0,0,4,0,1988,Bellevue
407000,4,2.25,2810,1,0,1,3,1100,1958,Des Moines
272000,3,2.5,1650,2,0,0,3,0,1998,Carnation
362000,3,2.25,1640,1,0,0,4,500,1963,Burien
535000,3,2.5,1850,2,0,0,3,0,1991,Kirkland
284000,4,2.5,2000,2,0,0,3,0,2003,Kent
367500,3,1.5,1410,1,0,0,3,0,1961,Shoreline
379900,4,1.75,1500,1,0,0,4,500,1955,Kenmore
520000,3,2.5,2460,2,0,0,4,0,1980,Renton
175000,3,1,1010,1,0,0,3,0,1954,Renton
460000,2,2.25,1230,2,0,0,3,210,2004,Seattle
345000,4,2.5,2331,2,0,0,3,0,2007,Renton
455000,5,2.5,2240,1,0,0,3,900,1978,Kirkland
610000,4,3,2450,1,0,0,5,870,1967,Bellevue
563000,4,3,3100,2,0,0,3,700,1996,Kenmore
612500,4,2,2060,1,0,0,3,1030,1949,Seattle
218000,3,1.75,1850,1,0,0,3,530,1979,Federal Way
404000,4,1.75,1840,1,0,0,3,880,1958,Bellevue
860000,4,2,3740,2,0,0,3,0,2000,Redmond
136500,3,1.5,1420,1,0,0,3,0,1962,Federal Way
313950,3,1,1510,1,0,0,4,650,1940,Seattle
575000,3,1.75,2130,1,0,2,3,960,1954,Seattle
1225000,4,2.25,3490,2,0,0,4,1210,1928,Seattle
280000,3,1.75,1630,1,0,0,4,0,1971,North Bend
515000,3,2.5,1790,2,0,0,3,0,1989,Sammamish
513000,4,2.5,2000,2,0,0,3,0,1996,Kenmore
599000,4,2.25,2260,2,0,0,4,860,1977,Bellevue
685000,4,2.5,3030,2,0,0,3,0,1999,Sammamish
365000,3,1.5,1310,1,0,0,3,0,1950,Seattle
762300,4,2.5,3880,2,0,0,3,0,1987,Sammamish
1580000,4,3.25,3760,1.5,0,0,5,1360,1950,Seattle
562000,5,2.25,3040,2,0,0,3,0,1984,Redmond
530000,5,2.5,2910,1,0,0,4,1220,1964,Bellevue
525000,3,2.5,2970,1,0,0,3,1200,1995,Sammamish
484000,2,1.75,1660,1,0,0,3,500,1942,Seattle
725126,4,2.5,3200,2,0,0,3,0,1998,Newcastle
360000,4,2,2680,1,0,0,5,0,1965,Auburn
387000,3,1,1230,1,0,0,5,0,1962,Newcastle
483500,4,2.5,2740,2,0,0,3,0,1995,Woodinville
655500,4,3.5,3380,2,0,0,3,0,2000,Shoreline
345000,3,1,1110,1,0,0,3,0,1956,Seattle
533000,5,2.75,1800,1.5,0,0,3,400,1926,Seattle
385000,3,1.75,1900,1,0,0,3,620,1982,Seattle
675000,2,1,930,1,0,2,3,0,1951,Bellevue
197000,3,1.75,1690,1,0,0,4,630,1976,Auburn
485000,3,2,1420,1.5,0,0,3,0,1905,Seattle
1870000,5,4,4510,2,0,0,3,0,1969,Mercer Island
295000,3,2.25,1980,1,0,0,4,420,1974,Federal Way
499000,2,1.75,1170,1,0,0,4,430,1903,Seattle
1050000,3,2.5,2200,2,0,0,3,590,2008,Seattle
191000,3,1.5,800,1,0,0,4,0,1959,Federal Way
500000,3,2.5,1480,3,0,0,3,0,2006,Seattle
390000,5,3.75,2890,1,0,0,3,1580,2006,Seattle
979000,3,2.5,2690,3,0,0,3,0,2014,Seattle
580000,4,3.25,3569,2,0,0,3,0,2013,Renton
369950,3,2,1270,3,0,0,3,0,2006,Seattle
1800000,5,5,4490,2,0,0,3,560,2013,Bellevue
776000,4,2.5,3040,2,0,0,3,0,2008,Redmond
519950,3,2.25,1170,3,0,0,3,0,2014,Seattle
255000,5,2.25,2060,1,0,0,3,1030,1962,Burien
495000,3,1,990,1,0,0,3,0,1943,Seattle
510000,4,2.5,2430,2,0,0,3,0,2003,Shoreline
1150000,4,4,4460,2,0,0,3,0,2001,Redmond
253000,3,1.75,1250,1,0,0,3,0,1994,Black Diamond
503000,3,2.75,1540,1,0,0,5,330,1980,Kirkland
275000,3,2.5,1600,2,0,0,4,0,1993,Maple Valley
249000,3,1,1110,1,0,0,3,0,1952,Burien
310000,3,1.75,1840,1,0,0,4,620,1974,Renton
750000,3,2.75,2520,1,0,0,4,1160,1946,Seattle
630000,3,2.5,2680,2,0,0,3,0,1995,Ravensdale
599999,9,4.5,3830,2.5,0,0,3,1380,1938,Seattle
758000,4,2.75,2410,1,0,0,4,630,1956,Kirkland
248500,4,1.75,1720,1,0,0,5,0,1960,Covington
310000,3,1.75,2070,1,0,0,4,650,1973,Kent
460000,3,2,1760,2,0,0,4,0,1985,Redmond
675000,3,1.75,1680,1,0,0,4,0,1959,Bellevue
526000,2,2,1550,1.5,0,0,4,0,1900,Seattle
560000,3,3,4120,2,0,2,3,940,1994,Carnation
415000,4,3,1830,2,0,0,3,0,1991,Bothell
246000,3,1,1400,1,0,0,3,0,1944,Burien
314500,3,1.75,1870,1,0,0,4,0,1957,Federal Way
3200000,7,4.5,6210,2.5,0,2,5,1450,1910,Seattle
420000,2,1.5,1040,1.5,0,0,4,0,1904,Seattle
535000,3,1.75,2720,1.5,0,0,3,0,1988,Carnation
350000,3,1,1010,1,0,0,3,0,1981,Kirkland
515000,3,1.75,1580,1,0,1,4,370,1967,Bellevue
749950,4,2.75,2600,2,0,0,5,640,1949,Seattle
230000,3,2.5,1920,2,0,0,3,0,1988,Renton
568000,3,2,2350,1.5,0,0,3,570,1929,Seattle
250000,1,1,1100,1,0,0,2,280,1947,Burien
581000,4,2,2510,1,0,0,4,1230,1961,Kirkland
651000,3,2.5,3240,2,0,0,4,0,1991,Kent
600000,3,2.5,2460,1,0,0,4,600,1977,Issaquah
500000,2,1,1010,1.5,0,0,4,0,1906,Seattle
475000,2,1,820,1,0,0,3,0,1921,Seattle
352000,5,2.5,2420,1,0,2,3,800,1978,Seattle
420000,3,2.25,1770,2,0,0,3,0,1977,Kirkland
428000,2,2,1350,1,0,0,3,0,2003,Redmond
599000,3,1.75,1960,1,0,0,4,870,1920,Seattle
492000,4,2.5,3305,1.5,0,0,5,1060,1922,Shoreline
630000,2,2.25,2550,1,0,0,3,830,2011,Renton
900000,5,3.75,4130,2,0,0,3,960,1985,Woodinville
1110000,4,1.5,2310,1,0,0,3,420,1950,Clyde Hill
575000,4,2,1650,1,0,0,3,0,1955,Seattle
705000,4,2.5,2650,1.5,0,0,3,1130,1905,Seattle
940000,4,2.25,1890,1,0,1,3,420,1963,Seattle
313000,3,1.75,2190,1,0,0,4,0,1967,Federal Way
618080,3,2.5,2030,2,0,0,3,0,1988,Issaquah
640000,3,3,2270,2,0,0,3,140,2002,Renton
485000,3,2,1610,1,0,0,4,600,1917,Seattle
300000,2,1,760,1,0,0,3,0,1913,Seattle
379500,2,1,1640,1,0,0,3,800,1978,Redmond
339950,3,2.25,1630,2,0,0,4,0,1985,Renton
1500000,6,2.5,3560,2.5,0,0,4,0,1914,Seattle
1340000,3,3,2960,2,0,2,3,520,1937,Seattle
500000,3,2.5,1940,1,0,0,4,0,1987,Issaquah
239900,3,2,1410,1,0,0,3,0,1985,Kent
314950,3,1,1040,1,0,0,4,0,1968,Renton
361280,2,1,820,1,0,0,4,0,1944,Seattle
100000,2,1,910,1,0,0,3,0,1956,Algona
540000,7,5.75,3700,2,0,1,3,0,1948,Lake Forest Park
480500,4,2.5,2180,1,0,0,4,0,1968,Woodinville
280000,3,2.5,1600,2,0,0,3,0,2000,Auburn
440000,3,1.75,1500,1,0,0,4,440,1947,Seattle
530000,3,1,1340,1,0,0,3,260,1910,Seattle
560000,3,2,1860,1,0,0,3,0,1985,Issaquah
775000,3,2,2540,1.5,0,3,4,940,1905,Seattle
160000,2,1,1040,1,0,0,5,0,1912,Kent
209950,3,1.5,1380,1,0,0,3,0,1960,Federal Way
226500,3,1.75,1640,1,0,0,3,510,1988,Covington
380000,5,1.75,3000,1,0,0,5,1500,1958,Seattle
409500,4,2.75,2140,1,0,0,3,820,1968,Kenmore
690000,3,2,1760,1,0,0,4,780,1942,Seattle
405000,3,2.25,1660,1,0,0,4,0,1961,Shoreline
375000,3,2.5,1830,2,0,0,3,0,1990,Maple Valley
794154,4,2,2210,1,0,1,4,1000,1954,Seattle
185000,4,1,1490,1,0,0,3,0,1969,Burien
245000,3,1.5,1260,2,0,0,3,220,2005,Seattle
1532500,5,4.5,4270,2,0,0,3,870,2007,Kirkland
1040000,4,3.5,3900,2,0,0,3,0,2006,Kirkland
425000,2,2.5,1150,3,0,0,3,0,2008,Seattle
495000,4,2.75,2656,2,0,0,3,0,2014,Auburn
365000,5,2.75,2410,1,0,0,3,1000,2008,Seattle
417250,3,2.25,1606,3,0,0,3,0,2009,Seattle
339950,2,1,820,3,0,0,3,0,2006,Seattle
615000,2,1,1540,1,0,0,4,720,1946,Seattle
403000,3,2.75,2090,2,0,0,3,0,2012,Duvall
980000,5,2.5,3160,1,0,0,4,1380,1971,Mercer Island
258000,4,1.75,1730,1,0,0,3,500,1977,Federal Way
533000,3,1,1670,1,0,0,3,500,1967,Seattle
537500,4,2.5,2550,2,0,0,3,0,2005,Sammamish
830000,5,3,3040,1,0,0,5,1070,1968,Mercer Island
712000,3,1,1250,1.5,0,0,4,100,1900,Seattle
262000,4,2.5,2020,2,0,0,3,0,2002,Algona
753888,4,2.5,2660,2,0,2,3,0,2003,Issaquah
134000,2,1.5,980,2,0,0,3,0,1922,Skykomish
402000,3,2.5,1960,1,0,0,4,670,1977,Kirkland
205000,2,1,720,1,0,0,3,0,1955,Seattle
553650,2,2.5,1360,2,0,0,3,310,1997,Seattle
559950,2,2,1870,1,0,0,3,0,2006,Redmond
260000,4,1.5,2130,1,0,0,3,1030,1962,Kent
270000,4,2.5,1810,2,0,0,3,0,1994,Kent
295000,2,1.75,2200,1,0,0,3,1100,1973,Issaquah
719000,3,2.5,1690,1.5,0,1,4,0,1928,Seattle
266000,3,2.5,1940,1,0,0,3,480,1989,Kent
325900,4,2.5,2320,2,0,0,3,0,2004,Kent
647500,4,1.75,2060,1,0,0,4,900,1947,Normandy Park
1039000,4,1,3410,2,0,0,5,1220,1910,Seattle
569000,4,2.25,2250,2,0,0,3,0,1980,Redmond
246000,3,1.75,1390,1,0,0,4,0,1975,Kent
515000,2,1,1060,1,0,0,3,0,1926,Seattle
207000,3,1,1490,1,0,0,4,0,1954,Seattle
780000,4,1.75,2480,1,0,0,3,1090,1950,Bellevue
489990,5,2.25,2440,1.5,0,0,4,0,1975,Kent
335000,3,1.5,2240,1.5,0,0,2,760,1980,Auburn
295000,3,2.5,1920,2,0,0,3,0,1993,Federal Way
385000,3,1.75,1890,1,0,0,3,660,1944,Seattle
350000,4,1.75,2250,1,0,0,4,100,1940,Kent
235000,2,1,1270,1,0,0,4,620,1923,Seattle
358000,2,1.5,960,2,0,0,3,0,1993,Seattle
716500,4,2.5,3290,2,0,0,3,0,2002,Sammamish
228000,4,1.75,2000,1,0,0,3,900,1965,Seattle
405000,2,1,1020,1,0,0,4,0,1948,Seattle
538000,4,1.75,1840,1,0,0,3,620,1967,Redmond
530000,3,1.75,1980,1,0,0,4,0,1973,Bellevue
1750000,6,3,3510,2.5,0,0,4,0,1906,Seattle
636000,2,1.75,1230,1.5,0,0,5,0,1925,Seattle
535000,4,2.5,2280,2,0,0,3,0,2004,Woodinville
1500000,3,1.75,2430,1,0,2,4,1090,1952,Bellevue
868500,3,2.5,2920,3,0,0,3,0,2008,Renton
530000,4,2.75,2280,1.5,0,0,4,740,1930,Seattle
450000,3,2,1510,1,0,0,3,0,1954,Woodinville
230000,3,1.75,950,1,0,0,3,160,1939,Seattle
229000,3,2.5,1190,2,0,0,3,0,2002,Tukwila
437000,3,1.75,1310,1,0,0,4,0,1976,Redmond
1307000,5,3.25,2800,1.5,0,0,5,890,1932,Seattle
595000,3,2.5,1750,2,0,0,4,0,1991,Kirkland
660000,3,1.75,1320,1.5,0,0,5,0,1918,Seattle
347500,4,2.5,2460,2,0,0,3,0,1989,Federal Way
297950,3,2,1240,1,0,0,3,0,1967,Renton
245000,3,1.5,1260,1,0,0,4,0,1955,Des Moines
543200,6,2.25,2820,1.5,0,2,5,850,1940,Burien
1250000,4,3.25,3820,2,0,1,4,510,1990,Mercer Island
413450,3,2.5,1540,3,0,0,3,70,2008,Seattle
330000,2,2,1550,1.5,0,0,2,0,1972,Snoqualmie
424500,3,1.75,1460,1,0,0,3,0,1979,Redmond
230000,3,1,1390,1,0,0,4,0,1960,Algona
930000,3,3.25,2640,2,0,0,3,800,1912,Seattle
349000,3,1.75,1590,1,0,0,3,0,1988,Renton
835000,4,2,1910,1.5,0,0,5,0,1941,Seattle
988500,3,2.75,2015,2,1,4,3,0,2007,Burien
500000,3,1.75,1410,3,0,0,3,0,2012,Seattle
499000,2,1.5,1110,2,0,0,3,180,2005,Seattle
321950,2,1.25,860,2,0,0,3,0,2007,Seattle
494000,3,2.5,2310,2,0,0,3,0,2011,Kenmore
441750,2,1.5,1020,3,0,0,3,0,2008,Seattle
438000,2,1,980,2,0,0,3,0,2010,Seattle
985000,4,2.25,4230,2,0,0,3,0,1989,Woodinville
352000,3,2.25,1640,1,0,0,4,0,1972,Renton
839900,4,3.5,3810,1,0,1,3,1250,2013,Renton
765000,4,2.75,2790,2,0,0,3,0,1996,Issaquah
460000,4,1.75,1750,1.5,0,0,5,700,1926,Seattle
224500,4,1,1430,1.5,0,0,4,0,1983,Auburn
254000,3,2.5,1850,2,0,0,3,0,2003,Covington
255000,2,1,960,1,0,0,4,0,1984,Vashon
610000,3,3,2480,1,0,0,4,860,1976,Woodinville
920000,4,3,3750,2,0,0,3,0,1976,Sammamish
402500,4,2.5,2600,2,0,0,3,0,1988,Federal Way
280950,3,1.75,1390,1,0,3,4,550,1912,Renton
604000,4,2.5,2260,2,0,0,3,0,1989,Issaquah
565000,4,2.25,2470,2,0,0,3,0,1984,Lake Forest Park
255000,2,1,810,1,0,0,1,0,1928,Seattle
445000,4,2,1650,1,0,0,5,650,1959,Seattle
2400000,3,2.25,3000,1.5,1,4,3,0,2001,Sammamish
195000,2,1,720,1,0,0,3,0,1950,Seattle
275000,3,1.5,1390,1,0,0,3,0,1922,Fall City
387000,3,2.25,1445,2,0,0,3,145,2003,Issaquah
490000,2,1,1840,1.5,0,0,4,710,1910,Seattle
505000,3,2.5,2100,2,0,2,3,0,1999,Snoqualmie
303500,3,1.5,1060,1,0,0,4,0,1973,Kirkland
270000,3,1.5,1500,1,0,0,5,0,1953,Seattle
323000,4,2.75,1970,1,0,0,3,800,1977,Renton
382000,3,3.25,1410,3,0,0,3,0,2005,Seattle
1370000,4,2.75,3720,1,0,4,5,1760,1962,Bellevue
280000,4,2,2190,1,0,0,4,1010,1977,Auburn
260000,3,2,1920,1,0,0,4,410,1969,Federal Way
201500,3,1,1160,1,0,0,4,0,1959,Kent
1157200,4,4.25,5860,2,0,0,4,950,1996,Woodinville
536500,4,1.75,2000,1.5,0,0,5,550,1926,Seattle
248000,4,3,2163,2,0,0,3,0,2006,Algona
532000,5,3,3480,1,0,0,4,1140,1976,Issaquah
580000,4,2.5,2840,2,0,0,3,0,1998,Kenmore
463000,2,1,1150,1,0,0,4,0,1905,Seattle
742500,4,2.75,3100,2,0,0,3,1100,1919,Seattle
260000,3,2.5,1420,1,0,0,4,400,1963,Kent
590000,4,2.25,2430,1,0,0,3,0,1993,Woodinville
312000,4,2.25,1930,1,0,0,3,500,1984,Kent
566000,3,2.25,1660,1,0,0,4,290,1980,Redmond
511555,3,2,1400,1,0,0,4,0,1963,Bellevue
583000,4,2.5,2660,2,0,0,3,0,2001,Redmond
290000,4,2.5,2000,1,0,0,4,800,1968,Auburn
311100,4,2.25,2130,1,0,0,4,750,1977,Renton
325000,3,2.25,1352,3,0,0,3,0,2007,Seattle
491300,3,1.75,1750,1,0,1,4,450,1987,Sammamish
315000,5,1.75,2320,1,0,0,4,1160,1956,Burien
360000,2,1,1420,1,0,0,3,240,1956,Renton
330000,4,2.5,1940,2,0,0,3,0,2003,Renton
481450,3,2,1410,1,0,0,3,0,1940,Seattle
234950,3,1,1360,1,0,0,3,0,1977,Black Diamond
251000,3,1.75,1220,1,0,0,3,0,1962,North Bend
782000,4,2.5,2830,2,0,0,3,850,1979,Bellevue
833000,4,2.75,3780,2,0,0,3,0,1999,Sammamish
542500,4,2.5,2330,2,0,0,4,0,1978,Bellevue
851000,3,2.5,3560,2,0,0,3,0,1987,Redmond
325000,4,1.5,1470,1,0,0,3,0,1976,Ravensdale
415000,4,2.25,3060,2,0,0,3,0,1992,Ravensdale
252500,3,1,1030,1,0,0,3,150,1947,Seattle
465000,4,2.5,1930,1,0,0,4,0,1968,Federal Way
336900,3,1.75,1780,1,0,0,4,0,1979,Duvall
225000,3,2.5,2000,2,0,0,4,0,1992,Maple Valley
270000,3,2,1690,1,0,0,4,0,1969,Renton
1702500,5,4.5,5190,2,0,2,3,1800,1987,Mercer Island
536000,3,1.75,1300,1.5,0,0,3,0,1925,Seattle
585000,4,3.25,2400,2,0,0,4,0,1982,Woodinville
445000,2,2,1150,1,0,0,3,290,1940,Seattle
320000,4,2.25,2310,2,0,0,3,0,1980,Renton
769900,4,3.5,2730,2,0,0,3,330,2006,Seattle
557000,4,2.5,2840,2,0,0,3,0,2012,Kenmore
212000,2,1.5,1020,2,0,0,3,0,2004,Seattle
376000,3,2,1340,3,0,0,3,0,2008,Seattle
800000,4,3.25,3540,2,0,0,3,0,2007,Carnation
