price,bedrooms,sqft_living,waterfront,condition,city
831000,4,2170,0,4,Seattle
780000,4,2730,0,3,Sammamish
755000,4,2120,0,4,Bellevue
705380,3,2490,0,3,Issaquah
627000,4,1990,0,3,Issaquah
865000,4,3690,0,3,Sammamish
580000,2,2540,0,5,Seattle
410000,3,1800,0,4,Issaquah
485000,4,2340,0,4,Kirkland
400000,2,2110,0,2,Shoreline
549000,2,1140,0,5,Seattle
620000,3,1480,0,3,Kirkland
405000,2,1410,0,3,Seattle
232000,2,1200,0,4,Des Moines
800866,5,3180,0,4,Kirkland
650000,3,2160,0,4,Seattle
823000,6,2920,0,4,Seattle
770000,3,2350,0,4,Seattle
524000,3,1560,0,4,Seattle
541125,5,2740,0,4,Bellevue
670000,3,1680,0,3,Seattle
384900,5,3090,0,3,Federal Way
406100,3,1410,0,3,Seattle
1395000,5,4010,0,5,Seattle
736500,4,3180,0,3,Renton
570000,3,2010,0,3,Redmond
787000,3,1330,0,3,Bellevue
328000,4,2370,0,3,Auburn
435000,5,1840,0,4,Seattle
499000,4,2910,0,3,Snoqualmie
501000,4,2070,0,3,Bellevue
1090000,4,4340,0,3,Redmond
400000,2,840,0,3,Seattle
220000,4,1240,0,3,Federal Way
657100,4,1390,0,3,Seattle
309950,4,2310,0,3,Maple Valley
300000,3,1050,0,3,Duvall
525888,5,2550,0,5,Issaquah
740000,4,2010,0,3,Seattle
340000,5,1120,0,4,Kirkland
398750,3,2230,0,3,Seattle
206000,2,810,0,5,Burien
1030000,5,3190,0,3,Bellevue
600000,3,1670,0,4,Sammamish
379950,4,1970,0,5,Shoreline
287000,3,1450,0,4,Seattle
2280000,7,13540,0,3,Redmond
309950,3,1880,0,3,Renton
600000,3,1880,0,4,Seattle
418000,3,1410,0,4,Seattle
449250,4,1480,0,5,Seattle
329950,2,1140,0,4,Seattle
245000,3,1920,0,3,Auburn
549000,4,2910,0,3,Renton
800000,3,3240,0,3,Sammamish
249950,3,1550,0,4,Renton
210000,5,2050,0,3,Des Moines
1425000,2,2220,0,3,Seattle
585000,2,1770,0,3,Seattle
615000,4,2300,0,4,Redmond
618500,3,1800,0,4,Seattle
487585,4,2010,0,3,Kirkland
509900,3,1790,0,3,Issaquah
631625,4,2440,0,3,Seattle
555000,3,1940,0,3,Issaquah
340000,2,1160,0,3,Seattle
830000,4,3400,0,3,Redmond
890000,4,4420,0,3,Issaquah
366750,3,1571,0,3,Seattle
415000,3,1620,0,3,Issaquah
416286,3,1408,0,3,Seattle
478000,3,3040,0,3,Renton
890000,5,4490,0,3,Issaquah
419190,2,1590,0,3,Issaquah
712198,4,2450,0,3,Redmond
397000,4,1440,0,3,Kirkland
450000,2,1100,0,3,Seattle
353000,3,1350,0,4,Seattle
609000,4,2150,0,3,Redmond
234000,3,1490,0,4,Covington
561000,3,2000,0,3,Seattle
469000,2,1030,0,3,Seattle
329350,2,720,0,3,Seattle
488000,5,2020,0,4,Seattle
279900,3,1580,0,4,Des Moines
606000,4,2110,0,3,Issaquah
312000,4,1300,0,3,Seattle
650000,3,1630,0,3,Seattle
1135000,4,3370,0,3,Seattle
325000,4,1890,0,3,Seattle
425000,4,1520,0,5,Inglewood-Finn Hill
219000,2,900,0,3,Seattle
250000,3,1050,0,3,Shoreline
390000,3,1260,0,4,Bellevue
475000,6,3470,0,3,Kenmore
736000,4,2290,0,4,Bellevue
407000,4,2810,0,3,Des Moines
272000,3,1650,0,3,Carnation
362000,3,1640,0,4,Burien
535000,3,1850,0,3,Kirkland
284000,4,2000,0,3,Kent
367500,3,1410,0,3,Shoreline
379900,4,1500,0,4,Kenmore
520000,3,2460,0,4,Renton
175000,3,1010,0,3,Renton
460000,2,1230,0,3,Seattle
345000,4,2331,0,3,Renton
455000,5,2240,0,3,Kirkland
610000,4,2450,0,5,Bellevue
563000,4,3100,0,3,Kenmore
612500,4,2060,0,3,Seattle
218000,3,1850,0,3,Federal Way
404000,4,1840,0,3,Bellevue
860000,4,3740,0,3,Redmond
136500,3,1420,0,3,Federal Way
313950,3,1510,0,4,Seattle
575000,3,2130,0,3,Seattle
1225000,4,3490,0,4,Seattle
280000,3,1630,0,4,North Bend
515000,3,1790,0,3,Sammamish
513000,4,2000,0,3,Kenmore
599000,4,2260,0,4,Bellevue
685000,4,3030,0,3,Sammamish
365000,3,1310,0,3,Seattle
762300,4,3880,0,3,Sammamish
1580000,4,3760,0,5,Seattle
562000,5,3040,0,3,Redmond
530000,5,2910,0,4,Bellevue
525000,3,2970,0,3,Sammamish
484000,2,1660,0,3,Seattle
725126,4,3200,0,3,Newcastle
360000,4,2680,0,5,Auburn
387000,3,1230,0,5,Newcastle
483500,4,2740,0,3,Woodinville
655500,4,3380,0,3,Shoreline
345000,3,1110,0,3,Seattle
533000,5,1800,0,3,Seattle
385000,3,1900,0,3,Seattle
675000,2,930,0,3,Bellevue
197000,3,1690,0,4,Auburn
485000,3,1420,0,3,Seattle
1870000,5,4510,0,3,Mercer Island
295000,3,1980,0,4,Federal Way
499000,2,1170,0,4,Seattle
1050000,3,2200,0,3,Seattle
191000,3,800,0,4,Federal Way
500000,3,1480,0,3,Seattle
390000,5,2890,0,3,Seattle
979000,3,2690,0,3,Seattle
580000,4,3569,0,3,Renton
369950,3,1270,0,3,Seattle
1800000,5,4490,0,3,Bellevue
776000,4,3040,0,3,Redmond
519950,3,1170,0,3,Seattle
255000,5,2060,0,3,Burien
495000,3,990,0,3,Seattle
510000,4,2430,0,3,Shoreline
1150000,4,4460,0,3,Redmond
253000,3,1250,0,3,Black Diamond
503000,3,1540,0,5,Kirkland
275000,3,1600,0,4,Maple Valley
249000,3,1110,0,3,Burien
310000,3,1840,0,4,Renton
750000,3,2520,0,4,Seattle
630000,3,2680,0,3,Ravensdale
599999,9,3830,0,3,Seattle
758000,4,2410,0,4,Kirkland
248500,4,1720,0,5,Covington
310000,3,2070,0,4,Kent
460000,3,1760,0,4,Redmond
675000,3,1680,0,4,Bellevue
526000,2,1550,0,4,Seattle
560000,3,4120,0,3,Carnation
415000,4,1830,0,3,Bothell
246000,3,1400,0,3,Burien
314500,3,1870,0,4,Federal Way
3200000,7,6210,0,5,Seattle
420000,2,1040,0,4,Seattle
535000,3,2720,0,3,Carnation
350000,3,1010,0,3,Kirkland
515000,3,1580,0,4,Bellevue
749950,4,2600,0,5,Seattle
230000,3,1920,0,3,Renton
568000,3,2350,0,3,Seattle
250000,1,1100,0,2,Burien
581000,4,2510,0,4,Kirkland
651000,3,3240,0,4,Kent
600000,3,2460,0,4,Issaquah
500000,2,1010,0,4,Seattle
475000,2,820,0,3,Seattle
352000,5,2420,0,3,Seattle
420000,3,1770,0,3,Kirkland
428000,2,1350,0,3,Redmond
599000,3,1960,0,4,Seattle
492000,4,3305,0,5,Shoreline
630000,2,2550,0,3,Renton
900000,5,4130,0,3,Woodinville
1110000,4,2310,0,3,Clyde Hill
575000,4,1650,0,3,Seattle
705000,4,2650,0,3,Seattle
940000,4,1890,0,3,Seattle
313000,3,2190,0,4,Federal Way
618080,3,2030,0,3,Issaquah
640000,3,2270,0,3,Renton
485000,3,1610,0,4,Seattle
300000,2,760,0,3,Seattle
379500,2,1640,0,3,Redmond
339950,3,1630,0,4,Renton
1500000,6,3560,0,4,Seattle
1340000,3,2960,0,3,Seattle
500000,3,1940,0,4,Issaquah
239900,3,1410,0,3,Kent
314950,3,1040,0,4,Renton
361280,2,820,0,4,Seattle
100000,2,910,0,3,Algona
540000,7,3700,0,3,Lake Forest Park
480500,4,2180,0,4,Woodinville
280000,3,1600,0,3,Auburn
440000,3,1500,0,4,Seattle
530000,3,1340,0,3,Seattle
560000,3,1860,0,3,Issaquah
775000,3,2540,0,4,Seattle
160000,2,1040,0,5,Kent
209950,3,1380,0,3,Federal Way
226500,3,1640,0,3,Covington
380000,5,3000,0,5,Seattle
409500,4,2140,0,3,Kenmore
690000,3,1760,0,4,Seattle
405000,3,1660,0,4,Shoreline
375000,3,1830,0,3,Maple Valley
794154,4,2210,0,4,Seattle
185000,4,1490,0,3,Burien
245000,3,1260,0,3,Seattle
1532500,5,4270,0,3,Kirkland
1040000,4,3900,0,3,Kirkland
425000,2,1150,0,3,Seattle
495000,4,2656,0,3,Auburn
365000,5,2410,0,3,Seattle
417250,3,1606,0,3,Seattle
339950,2,820,0,3,Seattle
615000,2,1540,0,4,Seattle
403000,3,2090,0,3,Duvall
980000,5,3160,0,4,Mercer Island
258000,4,1730,0,3,Federal Way
533000,3,1670,0,3,Seattle
537500,4,2550,0,3,Sammamish
830000,5,3040,0,5,Mercer Island
712000,3,1250,0,4,Seattle
262000,4,2020,0,3,Algona
753888,4,2660,0,3,Issaquah
134000,2,980,0,3,Skykomish
402000,3,1960,0,4,Kirkland
205000,2,720,0,3,Seattle
553650,2,1360,0,3,Seattle
559950,2,1870,0,3,Redmond
260000,4,2130,0,3,Kent
270000,4,1810,0,3,Kent
295000,2,2200,0,3,Issaquah
719000,3,1690,0,4,Seattle
266000,3,1940,0,3,Kent
325900,4,2320,0,3,Kent
647500,4,2060,0,4,Normandy Park
1039000,4,3410,0,5,Seattle
569000,4,2250,0,3,Redmond
246000,3,1390,0,4,Kent
515000,2,1060,0,3,Seattle
207000,3,1490,0,4,Seattle
780000,4,2480,0,3,Bellevue
489990,5,2440,0,4,Kent
335000,3,2240,0,2,Auburn
295000,3,1920,0,3,Federal Way
385000,3,1890,0,3,Seattle
350000,4,2250,0,4,Kent
235000,2,1270,0,4,Seattle
358000,2,960,0,3,Seattle
716500,4,3290,0,3,Sammamish
228000,4,2000,0,3,Seattle
405000,2,1020,0,4,Seattle
538000,4,1840,0,3,Redmond
530000,3,1980,0,4,Bellevue
1750000,6,3510,0,4,Seattle
636000,2,1230,0,5,Seattle
535000,4,2280,0,3,Woodinville
1500000,3,2430,0,4,Bellevue
868500,3,2920,0,3,Renton
530000,4,2280,0,4,Seattle
450000,3,1510,0,3,Woodinville
230000,3,950,0,3,Seattle
229000,3,1190,0,3,Tukwila
437000,3,1310,0,4,Redmond
1307000,5,2800,0,5,Seattle
595000,3,1750,0,4,Kirkland
660000,3,1320,0,5,Seattle
347500,4,2460,0,3,Federal Way
297950,3,1240,0,3,Renton
245000,3,1260,0,4,Des Moines
543200,6,2820,0,5,Burien
1250000,4,3820,0,4,Mercer Island
413450,3,1540,0,3,Seattle
330000,2,1550,0,2,Snoqualmie
424500,3,1460,0,3,Redmond
230000,3,1390,0,4,Algona
930000,3,2640,0,3,Seattle
349000,3,1590,0,3,Renton
835000,4,1910,0,5,Seattle
988500,3,2015,1,3,Burien
500000,3,1410,0,3,Seattle
499000,2,1110,0,3,Seattle
321950,2,860,0,3,Seattle
494000,3,2310,0,3,Kenmore
441750,2,1020,0,3,Seattle
438000,2,980,0,3,Seattle
985000,4,4230,0,3,Woodinville
352000,3,1640,0,4,Renton
839900,4,3810,0,3,Renton
765000,4,2790,0,3,Issaquah
460000,4,1750,0,5,Seattle
224500,4,1430,0,4,Auburn
254000,3,1850,0,3,Covington
255000,2,960,0,4,Vashon
610000,3,2480,0,4,Woodinville
920000,4,3750,0,3,Sammamish
402500,4,2600,0,3,Federal Way
280950,3,1390,0,4,Renton
604000,4,2260,0,3,Issaquah
565000,4,2470,0,3,Lake Forest Park
255000,2,810,0,1,Seattle
445000,4,1650,0,5,Seattle
2400000,3,3000,1,3,Sammamish
195000,2,720,0,3,Seattle
275000,3,1390,0,3,Fall City
387000,3,1445,0,3,Issaquah
490000,2,1840,0,4,Seattle
505000,3,2100,0,3,Snoqualmie
303500,3,1060,0,4,Kirkland
270000,3,1500,0,5,Seattle
323000,4,1970,0,3,Renton
382000,3,1410,0,3,Seattle
1370000,4,3720,0,5,Bellevue
280000,4,2190,0,4,Auburn
260000,3,1920,0,4,Federal Way
201500,3,1160,0,4,Kent
1157200,4,5860,0,4,Woodinville
536500,4,2000,0,5,Seattle
248000,4,2163,0,3,Algona
532000,5,3480,0,4,Issaquah
580000,4,2840,0,3,Kenmore
463000,2,1150,0,4,Seattle
742500,4,3100,0,3,Seattle
260000,3,1420,0,4,Kent
590000,4,2430,0,3,Woodinville
312000,4,1930,0,3,Kent
566000,3,1660,0,4,Redmond
511555,3,1400,0,4,Bellevue
583000,4,2660,0,3,Redmond
290000,4,2000,0,4,Auburn
311100,4,2130,0,4,Renton
325000,3,1352,0,3,Seattle
491300,3,1750,0,4,Sammamish
315000,5,2320,0,4,Burien
360000,2,1420,0,3,Renton
330000,4,1940,0,3,Renton
481450,3,1410,0,3,Seattle
234950,3,1360,0,3,Black Diamond
251000,3,1220,0,3,North Bend
782000,4,2830,0,3,Bellevue
833000,4,3780,0,3,Sammamish
542500,4,2330,0,4,Bellevue
851000,3,3560,0,3,Redmond
325000,4,1470,0,3,Ravensdale
415000,4,3060,0,3,Ravensdale
252500,3,1030,0,3,Seattle
465000,4,1930,0,4,Federal Way
336900,3,1780,0,4,Duvall
225000,3,2000,0,4,Maple Valley
270000,3,1690,0,4,Renton
1702500,5,5190,0,3,Mercer Island
536000,3,1300,0,3,Seattle
585000,4,2400,0,4,Woodinville
445000,2,1150,0,3,Seattle
320000,4,2310,0,3,Renton
769900,4,2730,0,3,Seattle
557000,4,2840,0,3,Kenmore
212000,2,1020,0,3,Seattle
376000,3,1340,0,3,Seattle
800000,4,3540,0,3,Carnation
2238888,5,7270,0,3,Issaquah
324000,3,998,0,3,Seattle
549900,5,3060,0,5,Seattle
320000,3,2130,0,3,Maple Valley
875000,4,2520,0,3,Seattle
265000,4,1940,0,3,Kent
394950,3,1350,0,3,Seattle
842500,4,2160,0,4,Seattle
368000,3,1370,0,3,Seattle
1225000,4,5420,0,3,Redmond
885000,4,2830,0,3,Seattle
453246,3,2010,0,3,Issaquah
927000,4,3300,0,3,Clyde Hill
490000,2,1230,0,3,Seattle
341000,3,1720,0,4,Shoreline
235000,1,810,0,5,Seattle
1200000,3,1560,1,4,Mercer Island
560000,3,2560,0,3,Auburn
900000,4,4700,0,3,Bellevue
255000,2,1220,0,3,Seattle
1575000,5,3650,0,4,Bellevue
876650,3,2170,0,5,Mercer Island
540000,4,2540,0,3,Duvall
350000,2,910,0,4,Seattle
750000,4,2980,0,3,Bellevue
582000,4,2120,0,3,Seattle
1315000,4,3460,0,3,Seattle
372500,5,2480,0,3,Seattle
410000,3,2200,0,3,Maple Valley
360000,4,1730,0,5,Seattle
1015000,3,2920,0,4,Seattle
225000,3,990,0,4,Renton
647000,4,3040,0,3,Sammamish
950000,5,4530,0,4,Woodinville
185000,3,1370,0,4,Auburn
335000,3,1940,0,3,Renton
210000,3,1040,0,3,Seattle
522000,4,1800,0,4,Kirkland
770000,3,1720,0,3,Seattle
499950,3,980,0,3,Seattle
751000,4,3110,0,3,Redmond
330000,5,2100,0,3,Burien
465000,3,2020,0,4,Kirkland
850000,4,2350,0,4,Mercer Island
947500,4,3290,0,4,Mercer Island
302000,5,2180,0,3,Maple Valley
500000,2,1290,0,3,Seattle
201000,3,1460,0,4,Kent
265000,2,1290,0,3,Redmond
870300,4,2350,0,4,Seattle
339000,3,1080,0,4,Shoreline
690000,4,2670,0,4,Issaquah
788000,4,3680,0,3,Issaquah
315275,3,1440,0,3,Seattle
505000,4,1940,0,5,Seattle
368000,3,1280,0,3,Woodinville
947500,3,2980,1,5,Burien
156000,3,970,0,3,Federal Way
610000,4,2110,0,4,Seattle
420000,2,1480,0,3,Redmond
192000,2,700,0,3,Normandy Park
910000,3,2700,0,4,Seattle
1300000,4,2330,0,3,Seattle
1346400,5,3380,0,4,Clyde Hill
840000,4,2600,0,3,Seattle
300000,2,1360,0,3,Seattle
505000,4,2780,0,3,Kirkland
110000,3,1250,0,5,Maple Valley
746000,3,2620,0,3,Bellevue
211000,3,1350,0,5,Burien
675000,4,2400,0,4,Seattle
734200,4,2760,0,5,Seattle
1225000,4,3070,0,3,Mercer Island
615000,2,2040,1,4,Vashon
630000,4,1770,0,5,Seattle
1264000,4,3490,0,3,Bellevue
301500,2,830,0,3,Seattle
369000,2,980,0,3,Seattle
635000,3,1570,0,3,Seattle
1033888,4,3270,0,3,Redmond
383000,4,2160,0,3,Maple Valley
1050000,4,3280,0,3,Kirkland
455000,4,3360,0,3,Renton
819900,5,3150,0,3,Redmond
625000,3,1810,0,4,Seattle
651000,4,2740,0,3,Sammamish
480000,5,3830,0,3,Woodinville
757000,3,3190,0,3,Issaquah
460000,3,2350,0,3,Kenmore
267345,4,2510,0,4,Federal Way
530000,2,1680,0,3,Redmond
449500,3,1770,0,4,Shoreline
289000,3,1090,0,5,Renton
373000,5,3001,0,3,Kent
525000,5,2450,0,3,Seattle
777000,3,3610,0,3,Issaquah
550000,4,2250,0,5,Bellevue
523000,3,1240,0,4,Bellevue
628000,4,2260,0,3,Seattle
581000,4,2090,0,4,Redmond
245000,5,2020,0,3,Seattle
415000,3,1960,0,5,Seattle
1895000,5,3120,0,4,Yarrow Point
225000,3,1250,0,3,Kent
287000,3,1490,0,4,Duvall
799200,6,2890,0,3,Seattle
239950,3,1900,0,4,Auburn
591000,3,1680,0,5,Seattle
700000,3,2030,0,4,Bellevue
475000,4,3740,0,3,Renton
575000,3,1580,0,4,Seattle
771000,3,1780,0,4,Seattle
155000,2,910,0,3,Seattle
550000,7,3440,0,3,Seattle
645000,3,1740,0,4,Bellevue
464000,5,3400,0,4,Shoreline
1050000,4,4400,0,3,Sammamish
350000,3,2010,0,3,Vashon
591000,4,2710,0,4,Woodinville
2555000,4,5300,1,2,Seattle
717000,3,1310,0,3,Seattle
225000,4,1950,0,3,SeaTac
225000,3,1040,0,3,Seattle
345000,3,1090,0,3,Kirkland
230000,2,650,0,4,Seattle
385000,3,1480,0,3,Seattle
90000,2,790,0,3,Kirkland
860000,4,3560,0,3,Bellevue
675000,4,3000,0,3,Newcastle
975000,4,3490,0,3,Bellevue
780000,3,2340,0,4,Mercer Island
370000,3,1650,0,5,Shoreline
665000,3,1940,0,5,Seattle
675000,5,3410,0,4,Redmond
620000,3,1710,0,3,Seattle
1105000,4,2740,0,5,Seattle
450000,3,1250,0,3,Seattle
450000,3,2450,0,4,Covington
530000,3,1690,0,4,Bellevue
635000,4,1950,0,4,Bellevue
580000,5,2290,0,3,Bellevue
1550000,5,3370,0,5,Mercer Island
285000,3,1090,0,4,Burien
375000,3,1190,0,4,Normandy Park
1400000,5,3530,0,3,Mercer Island
560000,3,1440,0,3,Seattle
405000,4,2180,0,3,Lake Forest Park
413000,4,1410,0,3,Seattle
287600,3,1950,0,3,Auburn
1680000,5,4860,0,4,Mercer Island
225000,3,1660,0,3,Auburn
319000,3,1390,0,4,Woodinville
322500,3,1350,0,3,Duvall
570000,3,1530,0,4,Seattle
465000,3,1270,0,3,Seattle
435000,4,2140,0,3,Snoqualmie
502000,4,2040,0,3,Kenmore
525000,3,2876,0,3,Woodinville
525000,3,1580,0,3,Seattle
660000,4,3400,0,3,Snoqualmie
870000,4,3520,0,3,Seattle
650000,4,2210,0,3,Seattle
505000,4,2790,0,3,Renton
330000,3,1450,0,3,Seattle
385000,4,1620,0,4,Seattle
306000,3,1220,0,3,Seattle
546000,3,2000,0,4,Seattle
925000,4,2190,0,5,Mercer Island
542000,4,1900,0,4,Bellevue
800000,3,1700,0,4,Seattle
620000,5,2540,0,5,Seattle
175000,2,1170,0,3,Des Moines
740000,5,5774,0,3,Federal Way
345000,3,2120,0,3,Renton
510000,3,2170,0,3,Sammamish
530000,4,2450,0,5,Normandy Park
155000,2,700,0,5,Renton
266000,3,1780,0,4,Kent
257200,3,1850,0,4,Auburn
265000,3,1570,0,3,Auburn
372220,3,1290,0,3,Seattle
337500,5,1700,0,3,Seattle
582500,2,1159,0,3,Seattle
489200,3,1850,0,5,Kirkland
405100,2,840,0,3,Seattle
372977,3,1690,0,3,Issaquah
310000,3,1050,0,3,Kenmore
538000,3,1400,0,4,Seattle
1400000,3,2550,0,3,Seattle
317000,3,1840,0,3,Maple Valley
702500,3,2360,0,5,Seattle
565000,4,2240,0,4,Newcastle
723000,4,2700,0,3,Issaquah
766950,3,3030,0,4,Woodinville
682000,3,1830,0,5,Seattle
325000,3,2220,0,4,Kent
543000,3,2090,0,3,Shoreline
525000,3,1600,0,3,Seattle
364000,4,2010,0,4,Shoreline
394475,2,830,0,3,Seattle
316000,4,2010,0,3,Auburn
339950,3,1050,0,4,Seattle
486000,4,2150,0,3,Fall City
160000,3,860,0,4,Kent
930000,3,3100,0,3,Shoreline
139000,3,1100,0,3,Auburn
562000,3,1830,0,4,Bellevue
299000,2,1250,0,4,Federal Way
511000,3,1820,0,3,Kenmore
499000,3,2090,0,3,Ravensdale
356000,3,2100,0,3,Tukwila
470000,4,2310,0,3,Duvall
715000,4,2060,0,5,Seattle
1120000,4,4470,0,3,Woodinville
458000,3,1660,0,4,Seattle
966000,5,3810,0,3,Sammamish
305495,3,2110,0,4,Renton
543000,2,2370,0,3,Issaquah
340000,3,1970,0,3,Renton
633100,4,2470,0,3,Redmond
310000,3,1480,0,3,Shoreline
349950,5,2257,0,3,SeaTac
267800,2,700,0,4,Shoreline
234000,4,1630,0,4,Auburn
740000,4,3430,0,3,Kirkland
607500,5,2220,0,3,Seattle
223000,3,1340,0,4,Auburn
400000,2,980,0,4,Seattle
802000,3,2580,0,3,Redmond
253000,4,2230,0,3,Covington
1058000,4,2290,0,4,Bellevue
300000,3,1260,0,3,Seattle
625000,4,1680,0,4,Redmond
707000,4,3200,0,3,Sammamish
950000,4,3320,0,3,Bellevue
420000,4,3040,0,3,Auburn
498000,4,2270,0,4,Kirkland
450000,3,2910,0,3,Federal Way
955000,5,2510,0,3,Mercer Island
215000,2,1240,0,3,Tukwila
437000,3,2580,0,3,Renton
773000,3,2470,0,3,Issaquah
1222500,4,4910,0,3,Sammamish
256883,3,1690,0,3,Federal Way
592500,4,2240,0,3,Sammamish
252350,3,1650,0,3,Renton
370000,4,2710,0,3,Auburn
465750,3,1260,0,3,Bellevue
185000,3,1150,0,3,Seattle
582800,4,2550,0,3,Sammamish
245000,3,1490,0,4,Kent
302000,4,2020,0,4,Renton
451555,2,1320,0,3,Seattle
250000,3,1230,0,4,Renton
255000,4,2070,0,3,Federal Way
840000,4,2930,0,3,Seattle
190000,3,1090,0,3,Federal Way
349950,3,1400,0,3,Seattle
613000,4,1550,0,3,Seattle
300000,3,1220,0,4,Shoreline
455000,3,1870,0,3,Kirkland
335000,3,2150,0,3,Tukwila
197500,3,980,0,3,Seattle
412500,3,1490,0,4,Redmond
395300,3,1120,0,3,Bellevue
342400,3,1180,0,3,Kenmore
749400,4,3240,0,3,Redmond
316500,4,2150,0,4,Kent
390000,3,2240,0,3,Kenmore
225000,3,1400,0,3,Renton
550000,3,1980,0,4,Redmond
280000,3,1330,0,3,North Bend
1255000,4,3200,0,3,Seattle
575000,2,1490,0,3,Seattle
1000000,5,3920,0,3,Bellevue
585000,5,2000,0,4,Seattle
620000,4,2680,0,3,Issaquah
204700,4,1670,0,3,Auburn
695000,4,3150,0,3,Sammamish
689900,4,2740,0,3,Issaquah
375000,4,1890,0,4,Shoreline
475000,7,2870,0,3,Seattle
215000,3,1160,0,4,Maple Valley
2100000,4,3550,0,3,Medina
790000,3,1790,0,3,Seattle
350000,3,1680,0,4,Duvall
695000,3,4560,0,4,Sammamish
263000,3,1590,0,4,Federal Way
400000,3,1630,0,5,Shoreline
525000,3,2700,0,3,Woodinville
349950,3,1700,0,3,Renton
1085000,4,3740,0,3,Woodinville
744000,4,1980,0,3,Seattle
312500,2,880,0,3,Seattle
240000,3,1400,0,3,Shoreline
495000,4,2050,0,5,Seattle
580050,3,2360,0,3,Seattle
640000,4,2560,0,4,Seattle
417000,3,1340,0,4,Bellevue
174950,3,1060,0,5,Covington
295000,3,850,0,3,Seattle
423000,4,1880,0,3,Kirkland
839000,3,1230,0,3,Bellevue
343000,4,2290,0,3,Seattle
467000,3,1660,0,5,Seattle
512500,3,1840,0,4,Seattle
575000,4,3020,0,3,Lake Forest Park
465000,3,1410,0,3,Seattle
270000,3,1010,0,3,Renton
340000,3,1960,0,3,Seattle
765000,5,3580,0,3,Issaquah
497000,4,2240,0,3,Seattle
803100,4,3310,0,3,Redmond
344000,3,1232,0,3,Seattle
828950,4,3930,0,3,Issaquah
386380,3,1720,0,3,Redmond
312000,3,1490,0,3,Seattle
720000,3,3150,0,3,Fall City
914500,4,3950,0,3,Sammamish
819995,5,3030,0,3,Newcastle
252700,2,1070,0,3,Kent
437500,3,2320,0,3,North Bend
350000,1,700,0,3,Seattle
619000,3,2720,0,3,Snoqualmie
408200,3,1800,0,4,Seattle
451000,3,1560,0,3,Seattle
317000,3,1760,0,5,Renton
799000,4,3120,0,3,Seattle
720000,2,2020,0,4,Seattle
490000,3,1450,0,3,Seattle
239900,4,1860,0,3,Federal Way
446000,4,2270,0,3,Kirkland
275000,3,1480,0,3,North Bend
239950,5,1460,0,4,Tukwila
248000,4,1850,0,3,Federal Way
619500,3,2170,0,3,Issaquah
363750,3,1726,0,4,Vashon
385000,3,1180,0,4,Sammamish
370000,4,1370,0,3,Kirkland
425000,3,2670,0,4,Kent
